main_id otype_txt
"[VV2006] J133433.8+654524" Sy1
"[VV2006] J155959.4+390325" Sy1
"1RXS J033627.1-055148" Sy1
"2MASS J11101753+5206407" Sy1
"2MASS J08292118+3752275" Sy1
"2E  2173" Sy1
"LEDA  140264" Sy1
"LAMOST J082447.43+302554.2" Sy1
"[VV2006] J111438.1+483129" Sy1
"SDSS J081459.87+375654.6" Sy1
"[VV2006] J111036.7+661346" Sy1
"[VV2006] J155556.1+405344" Sy1
"SDSS J091953.24+595128.8" Sy1
"2MASS J13195706+5235338" Sy1
"[VV2006c] J091553.5+051549" Sy1
"2XMM J101341.8-000925" Sy1
"[VV2006] J023310.6-090940" Sy1
"2MASS J11074809+5152295" Sy1
"[VV2003c] J132640.0+650427" Sy1
"[VV2006] J114440.7+642135" Sy1
MCG+09-16-013 Sy1
"2MASSI J1148053-023303" Sy1
"[VV2006] J234915.3-110249" Sy1
"SDSS J111454.49+524132.5" Sy1
"2MASX J09594130+4915299" Sy1
"SDSS J124129.35+681533.9" Sy1
"2QZ J115832.8+005138" Sy1
"2MASX J15481478+4500277" Sy1
"SDSS J151530.16+394259.4" Sy1
"[VV2006c] J003424.5+142354" Sy1
"SDSS J115644.79+110228.1" Sy1
"2MASS J09010468+3937098" Sy1
"2MASS J14365892+5541281" Sy1
"2MASS J15525787+4007243" Sy1
"2MASS J11201617+4914288" Sy1
"SDSS J144847.53+034936.6" Sy1
"2MASS J08131364+4448270" Sy1
"SDSS J073425.35+322221.3" Sy1
"1RXS J122506.8-030054" Sy1
"2MASX J16080672+4240576" Sy1
"PB  8127" Sy1
"2QZ J103727.4+003634" Sy1
"2MASS J03381103-0620416" Sy1
"[VV2003] J172908.0+580653" Sy1
"SDSS J083105.42+484231.6" Sy1
"GAMA 297516" Sy1
"2SLAQ J234018.85-011027.2" Sy1
"2MASSI J1711313+333543" Sy1
"2XMM J013955.7+061922" Sy1
"2XMM J140209.0+621024" Sy1
"6C 130312+513213" Sy1
"SDSS J164628.67+283052.1" Sy1
"2QZ J130855.1+004503" Sy1
"2MASX J14424081+2623327" Sy1
"2MASS J22444653-0009235" Sy1
"2MASS J12300351+6119047" Sy1
"2QZ J110703.7+004201" Sy1
"[VV2003c] J143754.5+044708" Sy1
"[VV2006] J143946.7+040535" Sy1
"SDSS J113229.54+092042.0" Sy1
"[VV2006] J163900.8+360657" Sy1
"1WGA J1059.1+6559" Sy1
"SDSS J151925.60+440755.7" Sy1
"[VV2006] J100453.4+620819" Sy1
"1RXS J161709.4+515557" Sy1
"[VV2006] J035609.3-050755" Sy1
"GAMA 93676" Sy1
"2MASS J14225296+0425385" Sy1
"[VV2006c] J130742.0+524015" Sy1
"2MASS J14475177+5053288" Sy1
